TrackID,ParticleName,Energy
15,opticalphoton,3.19562e-06
14,opticalphoton,3.37736e-06
13,opticalphoton,3.78462e-06
12,opticalphoton,3.20167e-06
11,opticalphoton,2.66729e-06
10,opticalphoton,2.67745e-06
9,opticalphoton,3.56394e-06
8,e-,8.783e-05
7,e-,8.072e-05
6,e-,8.783e-05
5,e-,8.849e-05
3,anti_nu_e,0.164569
2,Pa234[73.920X],9.42964e-08
1,Th234,0
4,e-,0.0620006
64,opticalphoton,3.08872e-06
63,opticalphoton,2.71929e-06
62,opticalphoton,3.59789e-06
61,opticalphoton,3.96566e-06
60,opticalphoton,2.99867e-06
59,opticalphoton,2.57018e-06
58,opticalphoton,3.47942e-06
57,opticalphoton,3.51853e-06
56,opticalphoton,3.74226e-06
55,opticalphoton,3.77393e-06
54,opticalphoton,3.91825e-06
53,opticalphoton,2.77948e-06
52,opticalphoton,3.43372e-06
51,opticalphoton,2.80955e-06
50,opticalphoton,3.07498e-06
49,opticalphoton,2.94849e-06
48,opticalphoton,3.16489e-06
47,opticalphoton,3.27115e-06
46,opticalphoton,3.44362e-06
45,opticalphoton,2.50303e-06
44,opticalphoton,3.08381e-06
43,opticalphoton,3.49421e-06
42,opticalphoton,2.88218e-06
41,opticalphoton,3.36058e-06
40,opticalphoton,3.2107e-06
39,opticalphoton,2.68883e-06
38,opticalphoton,3.40209e-06
37,opticalphoton,3.7516e-06
36,opticalphoton,2.70693e-06
35,opticalphoton,2.95054e-06
34,opticalphoton,3.38928e-06
33,opticalphoton,3.37388e-06
32,opticalphoton,3.6091e-06
31,opticalphoton,3.9133e-06
30,opticalphoton,2.29686e-06
29,opticalphoton,3.89255e-06
28,opticalphoton,3.02948e-06
27,e-,8.783e-05
26,e-,8.783e-05
25,e-,9.491e-05
65,opticalphoton,3.33393e-06
24,e-,8.783e-05
23,e-,8.783e-05
22,e-,8.783e-05
21,e-,8.783e-05
20,e-,9.56e-05
19,e-,8.849e-05
18,e-,8.849e-05
66,opticalphoton,3.95185e-06
17,e-,9.56e-05
16,e-,8.849e-05
15,e-,8.849e-05
14,e-,2.925e-05
13,e-,8.141e-05
12,e-,2.925e-05
11,e-,8.141e-05
10,e-,2.925e-05
9,e-,6.616e-05
8,e-,0.00050898
7,e-,0.00050898
6,e-,0.00050894
5,e-,0.0004939
68,opticalphoton,2.93642e-06
67,e-,9.494e-05
3,anti_nu_e,0.117368
2,Pa234[73.920X],8.69331e-08
1,Th234,0
4,e-,0.0638294
69,opticalphoton,3.53376e-06
68,opticalphoton,3.39271e-06
67,opticalphoton,2.74185e-06
66,opticalphoton,3.29476e-06
65,opticalphoton,3.67228e-06
64,opticalphoton,3.00296e-06
63,opticalphoton,4.01751e-06
62,opticalphoton,3.68596e-06
61,opticalphoton,2.90956e-06
60,opticalphoton,2.95138e-06
59,opticalphoton,3.857e-06
58,opticalphoton,3.12098e-06
57,opticalphoton,2.79958e-06
56,opticalphoton,2.49594e-06
55,opticalphoton,3.57202e-06
54,opticalphoton,3.88237e-06
53,opticalphoton,2.68853e-06
52,opticalphoton,3.42703e-06
51,opticalphoton,3.61268e-06
50,opticalphoton,3.61213e-06
49,opticalphoton,3.56568e-06
48,opticalphoton,2.60859e-06
47,opticalphoton,2.46085e-06
46,opticalphoton,3.796e-06
45,opticalphoton,3.41769e-06
44,opticalphoton,3.78617e-06
43,opticalphoton,2.90017e-06
42,opticalphoton,2.19596e-06
41,opticalphoton,3.9073e-06
40,opticalphoton,3.4873e-06
39,opticalphoton,3.4732e-06
38,opticalphoton,3.64251e-06
37,e-,9.494e-05
36,e-,8.783e-05
35,e-,8.783e-05
34,e-,9.494e-05
33,e-,8.783e-05
32,e-,8.072e-05
31,e-,8.783e-05
30,e-,9.494e-05
29,e-,8.783e-05
28,e-,8.783e-05
27,e-,8.783e-05
70,opticalphoton,3.90571e-06
26,e-,8.783e-05
25,e-,8.783e-05
24,e-,8.783e-05
23,e-,9.494e-05
22,e-,8.783e-05
21,e-,9.491e-05
20,e-,8.849e-05
19,e-,9.56e-05
18,e-,8.849e-05
17,e-,8.849e-05
16,e-,2.925e-05
15,e-,8.783e-05
14,e-,3.705e-05
13,e-,0.00012429
12,e-,8.783e-05
11,e-,2.994e-05
10,e-,9.491e-05
9,e-,2.994e-05
8,e-,2.311e-05
7,e-,0.0004939
71,opticalphoton,3.20262e-06
6,e-,0.00050898
72,opticalphoton,3.48267e-06
5,e-,0.00050898
74,opticalphoton,3.74373e-06
73,opticalphoton,3.69336e-06
3,anti_nu_e,0.115539
2,Pa234[73.920X],8.02102e-08
1,Th234,0
4,e-,0.0353039
26,opticalphoton,3.78235e-06
25,opticalphoton,3.22019e-06
24,opticalphoton,2.80577e-06
23,opticalphoton,3.24634e-06
22,opticalphoton,3.02585e-06
21,opticalphoton,2.18846e-06
20,opticalphoton,3.21955e-06
19,opticalphoton,3.70339e-06
18,opticalphoton,3.57865e-06
17,opticalphoton,2.97734e-06
16,opticalphoton,2.87742e-06
15,opticalphoton,3.98003e-06
14,opticalphoton,3.50821e-06
13,e-,8.072e-05
12,e-,8.783e-05
11,e-,8.072e-05
10,e-,8.849e-05
9,e-,8.849e-05
8,e-,9.56e-05
7,e-,8.849e-05
6,e-,8.072e-05
5,e-,3.705e-05
3,anti_nu_e,0.144065
2,Pa234[73.920X],8.78063e-08
1,Th234,0
4,e-,0.135443
131,opticalphoton,3.78128e-06
130,opticalphoton,3.19666e-06
129,opticalphoton,4.02702e-06
128,opticalphoton,3.70136e-06
127,opticalphoton,2.60824e-06
126,opticalphoton,3.54856e-06
125,opticalphoton,3.08539e-06
124,opticalphoton,2.62284e-06
123,opticalphoton,3.83283e-06
122,opticalphoton,3.27895e-06
121,opticalphoton,2.6999e-06
120,opticalphoton,3.58696e-06
119,opticalphoton,2.96781e-06
118,opticalphoton,3.73537e-06
117,opticalphoton,3.07117e-06
116,opticalphoton,3.45724e-06
115,opticalphoton,3.41009e-06
114,opticalphoton,2.98377e-06
113,opticalphoton,3.75974e-06
112,opticalphoton,2.69676e-06
111,opticalphoton,3.50112e-06
110,opticalphoton,2.98421e-06
109,opticalphoton,3.62931e-06
108,opticalphoton,3.07723e-06
107,opticalphoton,2.82121e-06
106,opticalphoton,3.40367e-06
105,opticalphoton,3.76306e-06
104,opticalphoton,3.93663e-06
103,opticalphoton,3.05275e-06
102,opticalphoton,3.55089e-06
101,opticalphoton,4.03457e-06
100,opticalphoton,3.22513e-06
99,opticalphoton,2.74609e-06
98,opticalphoton,3.46715e-06
97,opticalphoton,3.72113e-06
96,opticalphoton,2.43009e-06
95,opticalphoton,2.46259e-06
94,opticalphoton,2.79585e-06
93,opticalphoton,3.39802e-06
92,opticalphoton,3.07022e-06
91,opticalphoton,3.48046e-06
90,opticalphoton,3.69191e-06
89,opticalphoton,3.39034e-06
88,opticalphoton,3.81404e-06
87,opticalphoton,3.70951e-06
86,opticalphoton,3.5477e-06
85,opticalphoton,3.42168e-06
84,opticalphoton,2.7607e-06
83,opticalphoton,3.79184e-06
82,opticalphoton,3.6961e-06
81,opticalphoton,3.86814e-06
80,opticalphoton,3.85374e-06
79,opticalphoton,3.18874e-06
78,opticalphoton,2.6952e-06
77,e-,8.783e-05
76,e-,8.783e-05
75,e-,8.072e-05
132,opticalphoton,3.79334e-06
74,e-,8.783e-05
133,opticalphoton,2.85075e-06
73,e-,8.783e-05
72,e-,9.494e-05
71,e-,8.78e-05
70,e-,8.783e-05
69,e-,8.072e-05
68,e-,9.494e-05
67,e-,8.072e-05
134,opticalphoton,3.28713e-06
66,e-,8.783e-05
65,e-,9.494e-05
64,e-,9.491e-05
63,e-,8.783e-05
62,e-,9.494e-05
61,e-,9.494e-05
60,e-,9.494e-05
59,e-,8.783e-05
58,e-,8.783e-05
57,e-,9.491e-05
56,e-,8.783e-05
55,e-,9.491e-05
54,e-,8.072e-05
53,e-,8.783e-05
52,e-,8.783e-05
51,e-,9.494e-05
50,e-,8.849e-05
49,e-,9.56e-05
48,e-,8.849e-05
47,e-,8.849e-05
46,e-,8.849e-05
45,e-,8.141e-05
44,e-,8.849e-05
43,e-,8.849e-05
42,e-,9.563e-05
41,e-,8.849e-05
40,e-,9.56e-05
39,e-,8.849e-05
38,e-,8.849e-05
37,e-,8.849e-05
36,e-,8.849e-05
35,e-,8.849e-05
34,e-,8.783e-05
33,e-,2.994e-05
32,e-,8.78e-05
31,e-,3.705e-05
30,e-,9.557e-05
29,e-,2.925e-05
28,e-,9.557e-05
27,e-,2.925e-05
26,e-,8.783e-05
25,e-,2.994e-05
24,e-,9.494e-05
23,e-,2.994e-05
22,e-,8.783e-05
21,e-,2.994e-05
20,e-,8.783e-05
19,e-,8.783e-05
18,e-,2.994e-05
135,opticalphoton,2.38708e-06
17,e-,0.00156897
136,opticalphoton,3.14736e-06
16,e-,8.141e-05
15,gamma,0.00171983
138,e-,0.00049386
140,opticalphoton,2.89635e-06
139,opticalphoton,3.50472e-06
137,e-,0.00118183
144,opticalphoton,3.8195e-06
143,opticalphoton,3.57388e-06
142,opticalphoton,3.9324e-06
141,opticalphoton,3.24436e-06
14,e-,6.57e-05
13,e-,2.311e-05
12,e-,2.291e-05
11,e-,2.291e-05
10,e-,2.311e-05
9,e-,0.00049386
8,e-,0.00047882
146,e-,9.491e-05
145,e-,2.994e-05
7,e-,0.00050894
6,e-,0.00047882
5,e-,0.0004939
3,anti_nu_e,0.0439255
2,Pa234[73.920X],3.94677e-07
1,Th234,0
4,e-,0.0187339
28,opticalphoton,3.06158e-06
27,opticalphoton,2.59795e-06
